id,active_search_condition,session_started,session_ended,session_duration_minutes,q1,q2,q3,q4,q5,q6,q7,q8,comments,technical_issues,age,sex,education
LMM61OcS7fIJKjpp8PLRwA,control,2020-09-10 16:50:18,2020-09-10 17:00:41,10.383333333333333,3.0,4.0,4.0,2.0,,,,,,False,31,male,associate
twF3ibAy0Lt1-rqJShli2w,control,2020-09-10 16:51:39,2020-09-10 17:02:48,11.15,2.0,4.0,4.0,2.0,,,,,,False,33,female,bachelors
j59cGql1GzmBLGPE0kct3g,greedy,2020-09-10 16:53:15,2020-09-10 17:04:14,10.983333333333333,3.0,5.0,5.0,2.0,2.0,1.0,4.0,5.0,,False,44,male,doctorate
x2YPwqGiPma1PtdaR0pcsA,control,2020-09-10 17:00:06,2020-09-10 17:24:49,24.716666666666665,4.0,5.0,5.0,2.0,,,,,,False,31,male,bachelors
QNBeokFcfTDtlTtd_pt2fw,greedy,2020-09-10 17:00:12,2020-09-10 17:09:15,9.05,4.0,5.0,4.0,2.0,1.0,2.0,4.0,5.0,,False,35,female,bachelors
F0Wnn8mBVBKSysvLxzhJew,control,2020-09-10 17:01:31,2020-09-10 17:37:15,35.733333333333334,4.0,5.0,5.0,2.0,,,,,None Just i hope i did it right.,False,24,male,highschool
Vh_chN4sPjP99A8mc8q3tw,greedy,2020-09-10 17:03:50,2020-09-10 17:14:24,10.566666666666666,2.0,4.0,4.0,2.0,3.0,1.0,4.0,5.0,,False,35,withdraw,highschool
4moLYRc59xNJAPagNVcy5A,greedy,2020-09-10 17:04:27,2020-09-10 17:16:44,12.283333333333333,4.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,"The windows kept disappearing randomly when I was trying to click on them, I would read them and about half the time they would just disappear before I could add a bookmark. ",False,34,female,bachelors
B7ZaxlNNz11L0f6MLaOFeg,greedy,2020-09-10 17:05:11,2020-09-10 17:07:12,2.0166666666666666,5.0,5.0,3.0,2.0,1.0,2.0,5.0,5.0,,False,41,female,bachelors
FZl65iI0EoU-NFlIzal82Q,control,2020-09-10 17:17:53,2020-09-10 17:30:02,12.15,1.0,3.0,5.0,2.0,,,,,"I kept having issues with highlighting something and when I went to bookmark it, the box would disappear before I could click it. That was annoying and kept me away from the large cluster because it happened more there. It didn't happen often but it happened enough to get in the way which is why I wouldn't want to use it frequently. Otherwise, the system was fine.",False,38,male,highschool
tYCAwT3T7WtrpGuuLWyeyw,control,2020-09-10 17:24:56,2020-09-10 17:39:51,14.916666666666666,2.0,1.0,2.0,2.0,,,,,,False,47,female,associate
vORWFrZw9Qf5YJnFImjhMg,control,2020-09-10 17:26:16,2020-09-10 17:37:31,11.25,3.0,5.0,5.0,2.0,,,,,,False,32,female,associate
kMeuem7X1gWTQAnPXzyXdw,greedy,2020-09-10 17:33:37,2020-09-10 17:44:53,11.266666666666667,4.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,,False,31,male,bachelors
5bKBzTuSK8-yD97HTS1dZw,control,2020-09-10 17:46:31,2020-09-10 17:57:37,11.1,4.0,4.0,5.0,2.0,,,,,thank  you,False,35,male,bachelors
W_ll1tgFo2bkBT13i2jSIg,greedy,2020-09-10 17:46:33,2020-09-10 17:59:40,13.116666666666667,5.0,4.0,5.0,2.0,1.0,1.0,5.0,5.0,"In the center of the city where the dots were highly concentrated it was somewhat hard to hover over one specific dot. Otherwise, this was fun, thank you!",False,18,female,highschool
dHVuS9KdxqjsZ_rqnQS1jw,greedy,2020-09-10 17:49:24,2020-09-10 18:00:21,10.95,4.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,,False,37,male,bachelors
TNh4yciycOwATX7OZcMqAw,control,2020-09-10 17:50:11,2020-09-10 18:01:58,11.783333333333333,4.0,4.0,5.0,2.0,,,,,,False,33,male,highschool
xFutzVnyUPJa1FdcHDBuOA,control,2020-09-10 17:57:21,2020-09-10 18:10:02,12.683333333333334,5.0,4.0,4.0,2.0,,,,,"I just wanted to mention that I found this study fascinating. I actually was disappointed when the time was up on the task!
Thank you for the opportunity!",False,26,female,highschool
5GV8_vl7CrnU1n_e3BYAyA,control,2020-09-10 18:08:52,2020-09-10 18:23:38,14.766666666666667,4.0,4.0,4.0,2.0,,,,,,False,38,male,bachelors
RZKgmh54IrTo2bVMpg0L9w,control,2020-09-10 18:31:34,2020-09-10 18:42:15,10.683333333333334,3.0,3.0,3.0,2.0,,,,,,False,34,male,highschool
CxFmhMS5PYYF-f2YdntYMg,control,2020-09-10 18:42:48,2020-09-10 18:54:46,11.966666666666667,2.0,3.0,2.0,2.0,,,,,,False,34,male,highschool
Z2yONYSDzxqhG_m_AZAnog,control,2020-09-10 18:56:20,2020-09-10 19:16:31,20.183333333333334,4.0,4.0,5.0,2.0,,,,,,False,26,male,bachelors
